commandment_number,commandment_concept,commandment_polarity,reference_id,scripture_english,scripture_hebrew,scripture_greek,scripture_parashah,sefer_hachinuch_number,mishneh_torah_book_number,mishneh_torah_book_name,mishneh_torah_category,p119f_category,,,,,,,,,,,,,
334,A priest with a temporary blemish must not serve ,N,LEV 21:17,"""Speak to Aaron, saying, 'No man of your offspring throughout their generations who has a defect shall approach to offer the food of his God.",  דַּבֵּר אֶל־אַהֲרֹן לֵאמֹר אִישׁ מִזַּרְעֲךָ לְדֹרֹתָם אֲשֶׁר יִהְיֶה בוֹ מוּם לֹא יִקְרַב לְהַקְרִיב לֶחֶם אֱלֹהָיו׃ ‬,εἰπὸν ααρων ἄνθρωπος ἐκ τοῦ γένους σου εἰς τὰς γενεὰς ὑμῶν τίνι ἐὰν ᾖ ἐν αὐτῷ μῶμος οὐ προσελεύσεται προσφέρειν τὰ δῶρα τοῦ θεοῦ αὐτοῦ,Emor,276,8,Service,Entry into the Temple,Levites & Priests,,,,,,,,,,,,,
335,One who is not a priest must not serve ,N,NUM 18:4,"""They shall be joined with you and attend to the obligations of the tent of meeting, for all the service of the tent; but an outsider may not come near you.","ד וְנִלְווּ עָלֶיךָ--וְשָׁמְרוּ אֶת-מִשְׁמֶרֶת אֹהֶל מוֹעֵד, לְכֹל עֲבֹדַת הָאֹהֶל; וְזָר, לֹא-יִקְרַב אֲלֵיכֶם.","4 καὶ προστεθήσονται πρὸς σὲ καὶ φυλάξονται τὰς φυλακὰς τῆς σκηνῆς τοῦ μαρτυρίου κατὰ πάσας τὰς λειτουργίας τῆς σκηνῆς, καὶ ὁ ἀλλογενὴς οὐ προσελεύσεται πρὸς σέ.  ",Korach,390,8,Service,Entry into the Temple,Levites & Priests,,,,,,,,,,,,,
336,Offer only unblemished animals ,P,LEV 22:21,"'When a man offers a sacrifice of peace offerings to the LORD to fulfill a special vow or for a freewill offering, of the herd or of the flock, it must be perfect to be accepted; there shall be no defect in it.","כא וְאִישׁ, כִּי-יַקְרִיב זֶבַח-שְׁלָמִים לַיהוָה, לְפַלֵּא-נֶדֶר אוֹ לִנְדָבָה, בַּבָּקָר אוֹ בַצֹּאן--תָּמִים יִהְיֶה לְרָצוֹן, כָּל-מוּם לֹא יִהְיֶה-בּוֹ.","21 καὶ ἄνθρωπος, ὃς ἂν προσενέγκῃ θυσίαν σωτηρίου τῷ κυρίῳ διαστείλας εὐχὴν κατὰ αἵρεσιν ἢ ἐν ταῖς ἑορταῖς ὑμῶν ἐκ τῶν βουκολίων ἢ ἐκ τῶν προβάτων, ἄμωμον ἔσται εἰς δεκτόν, πᾶς μῶμος οὐκ ἔσται ἐν αὐτῷ.  ",Emor,286,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
337,Do not dedicate a blemished animal for the altar ,N,LEV 22:20,"'Whatever has a defect, you shall not offer, for it will not be accepted for you.","כ כֹּל אֲשֶׁר-בּוֹ מוּם, לֹא תַקְרִיבוּ: כִּי-לֹא לְרָצוֹן, יִהְיֶה לָכֶם.","20 πάντα, ὅσα ἂν ἔχῃ μῶμον ἐν αὐτῷ, οὐ προσάξουσιν κυρίῳ, διότι οὐ δεκτὸν ἔσται ὑμῖν.  ",Emor,285,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
338,Do not slaughter a blemished animal ,N,LEV 22:22,"Those that are blind or fractured or maimed or having a running sore or eczema or scabs, you shall not offer to the LORD, nor make of them an offering by fire on the altar to the LORD.","כב עַוֶּרֶת אוֹ שָׁבוּר אוֹ-חָרוּץ אוֹ-יַבֶּלֶת, אוֹ גָרָב אוֹ יַלֶּפֶת--לֹא-תַקְרִיבוּ אֵלֶּה, לַיהוָה; וְאִשֶּׁה, לֹא-תִתְּנוּ מֵהֶם עַל-הַמִּזְבֵּחַ--לַיהוָה.","22 τυφλὸν ἢ συντετριμμένον ἢ γλωσσότμητον ἢ μυρμηκιῶντα ἢ ψωραγριῶντα ἢ λιχῆνας ἔχοντα, οὐ προσάξουσιν ταῦτα τῷ κυρίῳ, καὶ εἰς κάρπωσιν οὐ δώσετε ἀπ᾿ αὐτῶν ἐπὶ τὸ θυσιαστήριον τῷ κυρίῳ.  ",Emor,289,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
339,Do not sprinkle a blemished animal's blood ,N,LEV 22:24,"Also anything with its testicles bruised or crushed or torn or cut, you shall not offer to the LORD, or sacrifice in your land,",  וּמָעוּךְ וְכָתוּת וְנָתוּק וְכָרוּת לֹא תַקְרִיבוּ לַיהוָה וּבְאַרְצְכֶם לֹא תַעֲשׂוּ׃ ‬,θλαδίαν καὶ ἐκτεθλιμμένον καὶ ἐκτομίαν καὶ ἀπεσπασμένον οὐ προσάξεις αὐτὰ τῷ κυρίῳ καὶ ἐπὶ τῆς γῆς ὑμῶν οὐ ποιήσετε,Emor,288,5,Holiness,Forbidden Sexual Relations,Sacrifices and Offerings,,,,,,,,,,,,,
340,Do not burn a blemished animal's fat ,N,LEV 22:22,"Those that are blind or fractured or maimed or having a running sore or eczema or scabs, you shall not offer to the LORD, nor make of them an offering by fire on the altar to the LORD.",  עַוֶּרֶת אוֹ שָׁבוּר אוֹ־חָרוּץ אוֹ־יַבֶּלֶת אוֹ גָרָב אוֹ יַלֶּפֶת לֹא־תַקְרִיבוּ אֵלֶּה לַיהוָה וְאִשֶּׁה לֹא־תִתְּנוּ מֵהֶם עַל־הַמִּזְבֵּחַ לַיהוָה׃ ‬,τυφλὸν ἢ συντετριμμένον ἢ γλωσσότμητον ἢ μυρμηκιῶντα ἢ ψωραγριῶντα ἢ λιχῆνας ἔχοντα οὐ προσάξουσιν ταῦτα τῷ κυρίῳ καὶ εἰς κάρπωσιν οὐ δώσετε ἀπ' αὐτῶν ἐπὶ τὸ θυσιαστήριον τῷ κυρίῳ,Emor,290,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
341,Do not offer a temporarily blemished animal ,N,DEU 17:1,"""You shall not sacrifice to the LORD your God an ox or a sheep which has a blemish or any defect, for that is a detestable thing to the LORD your God.","א לֹא-תִזְבַּח לַיהוָה אֱלֹהֶיךָ שׁוֹר וָשֶׂה, אֲשֶׁר יִהְיֶה בוֹ מוּם--כֹּל, דָּבָר רָע: כִּי תוֹעֲבַת יְהוָה אֱלֹהֶיךָ, הוּא. {ס}","1 Οὐ θύσεις κυρίῳ τῷ θεῷ σου μόσχον ἢ πρόβατον, ἐν ᾧ ἐστιν ἐν αὐτῷ μῶμος, πᾶν ῥῆμα πονηρόν, ὅτι βδέλυγμα κυρίῳ τῷ θεῷ σού ἐστιν.  ",Shoftim,494,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
342,Do not sacrifice blemished animals even if offered by those who are not part of the Covenant,N,LEV 22:25,"nor shall you accept any such from the hand of a foreigner for offering as the food of your God; for their corruption is in them, they have a defect, they shall not be accepted for you.'""","כה וּמִיַּד בֶּן-נֵכָר, לֹא תַקְרִיבוּ אֶת-לֶחֶם אֱלֹהֵיכֶם--מִכָּל-אֵלֶּה: כִּי מָשְׁחָתָם בָּהֶם מוּם בָּם, לֹא יֵרָצוּ לָכֶם. {ס}","25 καὶ ἐκ χειρὸς ἀλλογενοῦς οὐ προσοίσετε τὰ δῶρα τοῦ θεοῦ ὑμῶν ἀπὸ πάντων τούτων, ὅτι φθάρματά ἐστιν ἐν αὐτοῖς, μῶμος ἐν αὐτοῖς, οὐ δεχθήσεται ταῦτα ὑμῖν.  ",Emor,292,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
343,Do not inflict wounds upon dedicated animals ,N,LEV 22:21,"'When a man offers a sacrifice of peace offerings to the LORD to fulfill a special vow or for a freewill offering, of the herd or of the flock, it must be perfect to be accepted; there shall be no defect in it.",  וְאִישׁ כִּי־יַקְרִיב זֶבַח־שְׁלָמִים לַיהוָה לְפַלֵּא־נֶדֶר אוֹ לִנְדָבָה בַּבָּקָר אוֹ בַצֹּאן תָּמִים יִהְיֶה לְרָצוֹן כָּל־מוּם לֹא יִהְיֶה־בּוֹ׃ ‬,καὶ ἄνθρωπος ὃς ἂν προσενέγκῃ θυσίαν σωτηρίου τῷ κυρίῳ διαστείλας εὐχὴν κατὰ αἵρεσιν ἢ ἐν ταῖς ἑορταῖς ὑμῶν ἐκ τῶν βουκολίων ἢ ἐκ τῶν προβάτων ἄμωμον ἔσται εἰς δεκτόν πᾶς μῶμος οὐκ ἔσται ἐν αὐτῷ,Emor,287,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
344, To redeem dedicated animals which have become disqualified,P,DEU 12:15,"""However, you may slaughter and eat meat within any of your gates, whatever you desire, according to the blessing of the LORD your God which He has given you; the unclean and the clean may eat of it, as of the gazelle and the deer.",  רַק בְּכָל־אַוַּת נַפְשְׁךָ תִּזְבַּח וְאָכַלְתָּ בָשָׂר כְּבִרְכַּת יְהוָה אֱלֹהֶיךָ אֲשֶׁר נָתַן־לְךָ בְּכָל־שְׁעָרֶיךָ הַטָּמֵא וְהַטָּהוֹר יֹאכְלֶנּוּ כַּצְּבִי וְכָאַיָּל׃ ‬,ἀλλ' ἢ ἐν πάσῃ ἐπιθυμίᾳ σου θύσεις καὶ φάγῃ κρέα κατὰ τὴν εὐλογίαν κυρίου τοῦ θεοῦ σου ἣν ἔδωκέν σοι ἐν πάσῃ πόλει ὁ ἀκάθαρτος ἐν σοὶ καὶ ὁ καθαρὸς ἐπὶ τὸ αὐτὸ φάγεται αὐτὸ ὡς δορκάδα ἢ ἔλαφον,Re'eh,441,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
345,Offer only animals which are at least eight days old ,P,LEV 22:27,"""When an ox or a sheep or a goat is born, it shall remain seven days with its mother, and from the eighth day on it shall be accepted as a sacrifice of an offering by fire to the LORD.","כז שׁוֹר אוֹ-כֶשֶׂב אוֹ-עֵז כִּי יִוָּלֵד, וְהָיָה שִׁבְעַת יָמִים תַּחַת אִמּוֹ; וּמִיּוֹם הַשְּׁמִינִי, וָהָלְאָה, יֵרָצֶה, לְקָרְבַּן אִשֶּׁה לַיהוָה.","27 Μόσχον ἢ πρόβατον ἢ αἶγα, ὡς ἂν τεχθῇ, καὶ ἔσται ἑπτὰ ἡμέρας ὑπὸ τὴν μητέρα, τῇ δὲ ἡμέρᾳ τῇ ὀγδόῃ καὶ ἐπέκεινα δεχθήσεται εἰς δῶρα, κάρπωμα κυρίῳ.  ",Emor,293,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
346,Do not offer animals bought with the wages of a harlot or the wages of a dog,N,DEU 23:18,"""You shall not bring the hire of a harlot or the wages of a dog into the house of the LORD your God for any votive offering, for both of these are an abomination to the LORD your God.",  לֹא־תָבִיא אֶתְנַן זוֹנָה וּמְחִיר כֶּלֶב בֵּית יְהוָה אֱלֹהֶיךָ לְכָל־נֶדֶר כִּי תוֹעֲבַת יְהוָה אֱלֹהֶיךָ גַּם־שְׁנֵיהֶם׃ ‬,23:19 οὐ προσοίσεις μίσθωμα πόρνης οὐδὲ ἄλλαγμα κυνὸς εἰς τὸν οἶκον κυρίου τοῦ θεοῦ σου πρὸς πᾶσαν εὐχήν ὅτι βδέλυγμα κυρίῳ τῷ θεῷ σού ἐστιν καὶ ἀμφότερα,Ki Tetze,,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
347,Do not burn honey or yeast on the altar ,N,LEV 2:11,"'No grain offering, which you bring to the LORD, shall be made with leaven, for you shall not offer up in smoke any leaven or any honey as an offering by fire to the LORD.","יא כָּל-הַמִּנְחָה, אֲשֶׁר תַּקְרִיבוּ לַיהוָה--לֹא תֵעָשֶׂה, חָמֵץ: כִּי כָל-שְׂאֹר וְכָל-דְּבַשׁ, לֹא-תַקְטִירוּ מִמֶּנּוּ אִשֶּׁה לַיהוָה.","11 Πᾶσαν θυσίαν, ἣν ἂν προσφέρητε κυρίῳ, οὐ ποιήσετε ζυμωτόν· πᾶσαν γὰρ ζύμην καὶ πᾶν μέλι, οὐ προσοίσετε ἀπ᾿ αὐτοῦ καρπῶσαι κυρίῳ.  ",Vayikra,117,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
348,Salt all sacrifices ,P,LEV 2:13,"'Every grain offering of yours, moreover, you shall season with salt, so that the salt of the covenant of your God shall not be lacking from your grain offering; with all your offerings you shall offer salt.","יג וְכָל-קָרְבַּן מִנְחָתְךָ, בַּמֶּלַח תִּמְלָח, וְלֹא תַשְׁבִּית מֶלַח בְּרִית אֱלֹהֶיךָ, מֵעַל מִנְחָתֶךָ; עַל כָּל-קָרְבָּנְךָ, תַּקְרִיב מֶלַח. {ס}","13 καὶ πᾶν δῶρον θυσίας ὑμῶν ἁλὶ ἁλισθήσεται· οὐ διαπαύσετε ἅλα διαθήκης κυρίου ἀπὸ θυσιασμάτων ὑμῶν, ἐπὶ παντὸς δώρου ὑμῶν προσοίσετε κυρίῳ τῷ θεῷ ὑμῶν ἅλας. --  ",Vayikra,119,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
349,Do not omit the salt from sacrifices ,N,LEV 2:13,"'Every grain offering of yours, moreover, you shall season with salt, so that the salt of the covenant of your God shall not be lacking from your grain offering; with all your offerings you shall offer salt.",  וְכָל־קָרְבַּן מִנְחָתְךָ בַּמֶּלַח תִּמְלָח וְלֹא תַשְׁבִּית מֶלַח בְּרִית אֱלֹהֶיךָ מֵעַל מִנְחָתֶךָ עַל כָּל־קָרְבָּנְךָ תַּקְרִיב מֶלַח׃ ס ‬,καὶ πᾶν δῶρον θυσίας ὑμῶν ἁλὶ ἁλισθήσεται οὐ διαπαύσετε ἅλα διαθήκης κυρίου ἀπὸ θυσιασμάτων ὑμῶν ἐπὶ παντὸς δώρου ὑμῶν προσοίσετε κυρίῳ τῷ θεῷ ὑμῶν ἅλας,Vayikra,118,8,Service,Things Forbidden on the Altar,Sacrifices and Offerings,,,,,,,,,,,,,
350,Carry out the procedure of the burnt offering as prescribed in the Law ,P,LEV 1:3,"'If his offering is a burnt offering from the herd, he shall offer it, a male without defect; he shall offer it at the doorway of the tent of meeting, that he may be accepted before the LORD.","ג אִם-עֹלָה קָרְבָּנוֹ מִן-הַבָּקָר, זָכָר תָּמִים יַקְרִיבֶנּוּ; אֶל-פֶּתַח אֹהֶל מוֹעֵד, יַקְרִיב אֹתוֹ, לִרְצֹנוֹ, לִפְנֵי יְהוָה.","3 ἐὰν ὁλοκαύτωμα τὸ δῶρον αὐτοῦ ἐκ τῶν βοῶν, ἄρσεν ἄμωμον προσάξει· πρὸς τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου προσοίσει αὐτὸ δεκτὸν ἐναντίον κυρίου.  ",Vayikra,115,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
351,Do not eat the meat of an offering away from the Temple ,N,DEU 12:17,"""You are not allowed to eat within your gates the tithe of your grain or new wine or oil, or the firstborn of your herd or flock, or any of your votive offerings which you vow, or your freewill offerings, or the contribution of your hand.","יז לֹא-תוּכַל לֶאֱכֹל בִּשְׁעָרֶיךָ, מַעְשַׂר דְּגָנְךָ וְתִירֹשְׁךָ וְיִצְהָרֶךָ, וּבְכֹרֹת בְּקָרְךָ, וְצֹאנֶךָ; וְכָל-נְדָרֶיךָ אֲשֶׁר תִּדֹּר, וְנִדְבֹתֶיךָ וּתְרוּמַת יָדֶךָ.","17 οὐ δυνήσῃ φαγεῖν ἐν ταῖς πόλεσίν σου τὸ ἐπιδέκατον τοῦ σίτου σου καὶ τοῦ οἴνου σου καὶ τοῦ ἐλαίου σου, τὰ πρωτότοκα τῶν βοῶν σου καὶ τῶν προβάτων σου καὶ πάσας εὐχάς, ὅσας ἂν εὔξησθε, καὶ τὰς ὁμολογίας ὑμῶν καὶ τὰς ἀπαρχὰς τῶν χειρῶν ὑμῶν,  ",Re'eh,446,7,Seeds,Second Tithe and Fruit of the Fourth Year,Terumah and Tithes,,,,,,,,,,,,,
352,Carry out the procedure of the sin offering ,P,LEV 6:25,"""Speak to Aaron and to his sons, saying, 'This is the law of the sin offering: in the place where the burnt offering is slain the sin offering shall be slain before the LORD; it is most holy.","יח דַּבֵּר אֶל-אַהֲרֹן וְאֶל-בָּנָיו לֵאמֹר, זֹאת תּוֹרַת הַחַטָּאת: בִּמְקוֹם אֲשֶׁר תִּשָּׁחֵט הָעֹלָה תִּשָּׁחֵט הַחַטָּאת, לִפְנֵי יְהוָה--קֹדֶשׁ קָדָשִׁים, הִוא.","(6:18) Λάλησον Ααρων καὶ τοῖς υἱοῖς αὐτοῦ λέγων Οὗτος ὁ νόμος τῆς ἁμαρτίας· ἐν τόπῳ, οὗ σφάζουσιν τὸ ὁλοκαύτωμα, σφάξουσιν τὰ περὶ τῆς ἁμαρτίας ἔναντι κυρίου· ἅγια ἁγίων ἐστίν.  ",Tzav,138,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
353,Do not eat the meat of the inner sin offering ,N,LEV 6:23,"""So every grain offering of the priest shall be burned entirely. It shall not be eaten.""","טז וְכָל-מִנְחַת כֹּהֵן כָּלִיל תִּהְיֶה, לֹא תֵאָכֵל. {פ}",(6:16) καὶ πᾶσα θυσία ἱερέως ὁλόκαυτος ἔσται καὶ οὐ βρωθήσεται.  ,Tzav,139,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
354,Do not decapitate a fowl brought as a sin offering ,N,LEV 5:8,"He shall bring them to the priest, who shall offer first that which is for the sin offering and shall nip its head at the front of its neck, but he shall not sever it.","ח וְהֵבִיא אֹתָם אֶל-הַכֹּהֵן, וְהִקְרִיב אֶת-אֲשֶׁר לַחַטָּאת רִאשׁוֹנָה; וּמָלַק אֶת-רֹאשׁוֹ מִמּוּל עָרְפּוֹ, וְלֹא יַבְדִּיל.","8 καὶ οἴσει αὐτὰ πρὸς τὸν ἱερέα, καὶ προσάξει ὁ ἱερεὺς τὸ περὶ τῆς ἁμαρτίας πρότερον· καὶ ἀποκνίσει ὁ ἱερεὺς τὴν κεφαλὴν αὐτοῦ ἀπὸ τοῦ σφονδύλου καὶ οὐ διελεῖ·  ",Vayikra,124,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
355,Carry out the procedure of the guilt offering ,P,LEV 7:1,'Now this is the law of the guilt offering; it is most holy.,"א וְזֹאת תּוֹרַת, הָאָשָׁם: קֹדֶשׁ קָדָשִׁים, הוּא.",1 Καὶ οὗτος ὁ νόμος τοῦ κριοῦ τοῦ περὶ τῆς πλημμελείας· ἅγια ἁγίων ἐστίν.  ,Tzav,140,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
356,The priests must eat the sacrificial meat in the Temple ,P,EXO 29:33,"""Thus they shall eat those things by which atonement was made at their ordination and consecration; but a layman shall not eat them, because they are holy.","לג וְאָכְלוּ אֹתָם אֲשֶׁר כֻּפַּר בָּהֶם, לְמַלֵּא אֶת-יָדָם לְקַדֵּשׁ אֹתָם; וְזָר לֹא-יֹאכַל, כִּי-קֹדֶשׁ הֵם.","33 ἔδονται αὐτά, ἐν οἷς ἡγιάσθησαν ἐν αὐτοῖς τελειῶσαι τὰς χεῖρας αὐτῶν ἁγιάσαι αὐτούς, καὶ ἀλλογενὴς οὐκ ἔδεται ἀπ᾿ αὐτῶν· ἔστιν γὰρ ἅγια.  ",Tetzaveh,102,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
357,The priests must not eat the meat outside the Temple courtyard ,N,DEU 12:17,"""You are not allowed to eat within your gates the tithe of your grain or new wine or oil, or the firstborn of your herd or flock, or any of your votive offerings which you vow, or your freewill offerings, or the contribution of your hand.",  לֹא־תוּכַל לֶאֱכֹל בִּשְׁעָרֶיךָ מַעְשַׂר דְּגָנְךָ וְתִירֹשְׁךָ וְיִצְהָרֶךָ וּבְכֹרֹת בְּקָרְךָ וְצֹאנֶךָ וְכָל־נְדָרֶיךָ אֲשֶׁר תִּדֹּר וְנִדְבֹתֶיךָ וּתְרוּמַת יָדֶךָ׃ ‬,οὐ δυνήσῃ φαγεῖν ἐν ταῖς πόλεσίν σου τὸ ἐπιδέκατον τοῦ σίτου σου καὶ τοῦ οἴνου σου καὶ τοῦ ἐλαίου σου τὰ πρωτότοκα τῶν βοῶν σου καὶ τῶν προβάτων σου καὶ πάσας εὐχάς ὅσας ἂν εὔξησθε καὶ τὰς ὁμολογίας ὑμῶν καὶ τὰς ἀπαρχὰς τῶν χειρῶν ὑμῶν,Re'eh,447,7,Seeds,Second Tithe and Fruit of the Fourth Year,Terumah and Tithes,,,,,,,,,,,,,
358,A non- priest must not eat certain sacrificial meat ,N,EXO 29:33,"""Thus they shall eat those things by which atonement was made at their ordination and consecration; but a layman shall not eat them, because they are holy.",  וְאָכְלוּ אֹתָם אֲשֶׁר כֻּפַּר בָּהֶם לְמַלֵּא אֶת־יָדָם לְקַדֵּשׁ אֹתָם וְזָר לֹא־יֹאכַל כִּי־קֹדֶשׁ הֵם׃ ‬,ἔδονται αὐτά ἐν οἷς ἡγιάσθησαν ἐν αὐτοῖς τελειῶσαι τὰς χεῖρας αὐτῶν ἁγιάσαι αὐτούς καὶ ἀλλογενὴς οὐκ ἔδεται ἀπ' αὐτῶν ἔστιν γὰρ ἅγια,Tetzaveh,,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
359,Follow the procedure of the peace offering ,P,LEV 7:11,'Now this is the law of the sacrifice of peace offerings which shall be presented to the LORD.,"יא וְזֹאת תּוֹרַת, זֶבַח הַשְּׁלָמִים, אֲשֶׁר יַקְרִיב, לַיהוָה.","11 Οὗτος ὁ νόμος θυσίας σωτηρίου, ἣν προσοίσουσιν κυρίῳ.  ",Tzav,141,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
360,Do not eat the meat of minor sacrifices before sprinkling the blood ,N,DEU 12:15,"""However, you may slaughter and eat meat within any of your gates, whatever you desire, according to the blessing of the LORD your God which He has given you; the unclean and the clean may eat of it, as of the gazelle and the deer.","טו רַק בְּכָל-אַוַּת נַפְשְׁךָ תִּזְבַּח וְאָכַלְתָּ בָשָׂר, כְּבִרְכַּת יְהוָה אֱלֹהֶיךָ אֲשֶׁר נָתַן-לְךָ--בְּכָל-שְׁעָרֶיךָ; הַטָּמֵא וְהַטָּהוֹר יֹאכְלֶנּוּ, כַּצְּבִי וְכָאַיָּל.","15 ἀλλ᾿ ἢ ἐν πάσῃ ἐπιθυμίᾳ σου θύσεις καὶ φάγῃ κρέα κατὰ τὴν εὐλογίαν κυρίου τοῦ θεοῦ σου, ἣν ἔδωκέν σοι ἐν πάσῃ πόλει· ὁ ἀκάθαρτος ἐν σοὶ καὶ ὁ καθαρὸς ἐπὶ τὸ αὐτὸ φάγεται αὐτὸ ὡς δορκάδα ἢ ἔλαφον·  ",Re'eh,448,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
361,Bring meal offerings as prescribed in the Torah ,P,LEV 2:1,"'Now when anyone presents a grain offering as an offering to the LORD, his offering shall be of fine flour, and he shall pour oil on it and put frankincense on it.","א וְנֶפֶשׁ, כִּי-תַקְרִיב קָרְבַּן מִנְחָה לַיהוָה--סֹלֶת, יִהְיֶה קָרְבָּנוֹ; וְיָצַק עָלֶיהָ שֶׁמֶן, וְנָתַן עָלֶיהָ לְבֹנָה.","1 Ἐὰν δὲ ψυχὴ προσφέρῃ δῶρον θυσίαν τῷ κυρίῳ, σεμίδαλις ἔσται τὸ δῶρον αὐτοῦ, καὶ ἐπιχεεῖ ἐπ᾿ αὐτὸ ἔλαιον καὶ ἐπιθήσει ἐπ᾿ αὐτὸ λίβανον· θυσία ἐστίν.  ",Vayikra,116,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
362,Do not put oil on the meal offerings of wrongdoers ,N,LEV 5:11,"'But if his means are insufficient for two turtledoves or two young pigeons, then for his offering for that which he has sinned, he shall bring the tenth of an ephah of fine flour for a sin offering; he shall not put oil on it or place incense on it, for it is a sin offering.","יא וְאִם-לֹא תַשִּׂיג יָדוֹ לִשְׁתֵּי תֹרִים, אוֹ לִשְׁנֵי בְנֵי-יוֹנָה--וְהֵבִיא אֶת-קָרְבָּנוֹ אֲשֶׁר חָטָא עֲשִׂירִת הָאֵפָה סֹלֶת, לְחַטָּאת; לֹא-יָשִׂים עָלֶיהָ שֶׁמֶן, וְלֹא-יִתֵּן עָלֶיהָ לְבֹנָה--כִּי חַטָּאת, הִוא.","11 ἐὰν δὲ μὴ εὑρίσκῃ αὐτοῦ ἡ χεὶρ ζεῦγος τρυγόνων ἢ δύο νεοσσοὺς περιστερῶν, καὶ οἴσει τὸ δῶρον αὐτοῦ περὶ οὗ ἥμαρτεν, τὸ δέκατον τοῦ οιφι σεμίδαλιν περὶ ἁμαρτίας· οὐκ ἐπιχεεῖ ἐπ᾿ αὐτὸ ἔλαιον οὐδὲ ἐπιθήσει ἐπ᾿ αὐτὸ λίβανον, ὅτι περὶ ἁμαρτίας ἐστίν·  ",Vayikra,125,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
363,Do not put frankincense on the meal offerings of wrongdoers ,N,LEV 5:11,"'But if his means are insufficient for two turtledoves or two young pigeons, then for his offering for that which he has sinned, he shall bring the tenth of an ephah of fine flour for a sin offering; he shall not put oil on it or place incense on it, for it is a sin offering.",  וְאִם־לֹא תַשִּׂיג יָדוֹ לִשְׁתֵּי תֹרִים אוֹ לִשְׁנֵי בְנֵי־יוֹנָה וְהֵבִיא אֶת־קָרְבָּנוֹ אֲשֶׁר חָטָא עֲשִׂירִת הָאֵפָה סֹלֶת לְחַטָּאת לֹא־יָשִׂים עָלֶיהָ שֶׁמֶן וְלֹא־יִתֵּן עָלֶיהָ לְבֹנָה כִּי חַטָּאת הִיא׃ ‬,ἐὰν δὲ μὴ εὑρίσκῃ αὐτοῦ ἡ χεὶρ ζεῦγος τρυγόνων ἢ δύο νεοσσοὺς περιστερῶν καὶ οἴσει τὸ δῶρον αὐτοῦ περὶ οὗ ἥμαρτεν τὸ δέκατον τοῦ οιφι σεμίδαλιν περὶ ἁμαρτίας οὐκ ἐπιχεεῖ ἐπ' αὐτὸ ἔλαιον οὐδὲ ἐπιθήσει ἐπ' αὐτὸ λίβανον ὅτι περὶ ἁμαρτίας ἐστίν,Vayikra,126,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
364,Do not eat the meal offering of a priest ,N,LEV 6:16,'What is left of it Aaron and his sons are to eat. It shall be eaten as unleavened cakes in a holy place; they are to eat it in the court of the tent of meeting.,"ט וְהַנּוֹתֶרֶת מִמֶּנָּה, יֹאכְלוּ אַהֲרֹן וּבָנָיו; מַצּוֹת תֵּאָכֵל בְּמָקוֹם קָדֹשׁ, בַּחֲצַר אֹהֶל-מוֹעֵד יֹאכְלוּהָ.","(6:9) τὸ δὲ καταλειφθὲν ἀπ᾿ αὐτῆς ἔδεται Ααρων καὶ οἱ υἱοὶ αὐτοῦ· ἄζυμα βρωθήσεται ἐν τόπῳ ἁγίῳ, ἐν αὐλῇ τῆς σκηνῆς τοῦ μαρτυρίου ἔδονται αὐτήν.  ",Tzav,137,8,Service,Sacrificial Procedures,Sacrifices and Offerings,,,,,,,,,,,,,
