strongs_number,word,gloss,language,part_of_speech,gender,occurrences,first_occurrence,root_word,word_root_occurrence,first_root_number,first_root_hebrew,second_root_number,second_root_hebrew,third_root_number,third_root_hebrew
4486,מַנדַּע,"manda` (man-dah') n-m.
1. wisdom or intelligence
[(Aramaic) corresponding to H4093]
KJV: knowledge, reason, understanding. 
Root(s): H4093 ",A,noun,masculine,4,DAN 2:21,,,4093,מדע מדע,,,,
4487,מָנָה,"manah (maw-naw') v.
1. (properly) to weigh out
2. (by implication) to allot or constitute officially
3. also to enumerate or enroll
[a primitive root]
KJV: appoint, count, number, prepare, set, tell. ",H,verb,,28,GEN 13:16,מנה,,,,,,,
4488,מָנֶה,"maneh (maw-neh') n-m.
1. (properly) a fixed weight or measured amount, i.e. (techn.) a maneh or mina
[from H4487]
KJV: maneh, pound. 
Root(s): H4487 ",H,noun,masculine,5,1KI 10:17,מנה,,4487,מנה,,,,
4489,מוֹנֶה,"moneh (mo-neh') n-m.
1. (properly) something weighed out, i.e. (figuratively) a portion of time, i.e. an instance
[from H4487]
KJV: time. 
Root(s): H4487 ",H,noun,masculine,2,GEN 31:7,מנה,,4487,מנה,,,,
4490,מָנָה,"manah (maw-naw') n-f.
1. (properly) something weighed out
2. (generally) a division
3. (specifically, of food) a ration
4. (also) a lot
[from H4487]
KJV: such things as belonged, part, portion. 
Root(s): H4487 ",H,noun,feminine,14,EXO 29:26,מנה,,4487,מנה,,,,
4491,מִנהָג,"minhag (min-hawg') n-m.
1. the driving (of a chariot)
[from H5090]
KJV: driving. 
Root(s): H5090 ",H,noun,masculine,1,2KI 9:20,נהג,,5090,נהג,,,,
4492,מִנהָרָה,"minharah (min-haw-raw') n-f.
1. (properly) a channel or fissure
2. (by implication) a cavern
[from H5102]
KJV: den. 
Root(s): H5102 ",H,noun,feminine,1,JDG 6:2,נהר,,5102,נהר,,,,
4493,מָנוֹד,"manowd (maw-node') n-m.
1. shaking
[from H5110 a nodding or toss (of the head in derision)]
 Root(s): H5110 ",H,noun,masculine,1,PSA 44:14,נוד,,5110,נוד,,,,
4494,מָנוַֹח,"manowach (maw-no'-akh) n-m.
1. quiet
2. (concretely) a settled spot
3. (figuratively) a home
[from H5117]
KJV: (place of) rest. 
Root(s): H5117 ",H,noun,masculine,6,GEN 8:9,נוח,,5117,נוח,,,,
4495,מָנוַֹח,"Manowach (maw-no'-akh) n/p.
1. rest
2. Manoach, an Israelite
[the same as H4494]
KJV: Manoah. 
Root(s): H4494 ",H,noun proper,,18,JDG 13:2,,,4494,מנוח,,,,
4496,מְנוּחָה מְנוּחָה,"mnuwchah (men-oo-khaw') (or mnuchah {men-oo-khaw'}) n-f.
1. repose
2. (adverbially) peacefully
3. (figuratively) consolation
4. (specifically) matrimony
5. (hence, concretely) an abode
[feminine of H4495]
KJV: comfortable, ease, quiet, rest(-ing place), still. 
Root(s): H4495 ",H,noun,feminine,22,GEN 49:15,,,4495,מנוח,,,,
4497,מָנוֹן,"manown (maw-nohn') n-m.
1. a continuator, i.e. heir
[from H5125]
KJV: son. 
Root(s): H5125 ",H,noun,masculine,1,PRO 29:21,נון,,5125,נון,,,,
4498,מָנוֹס,"manowc (maw-noce') n-m.
1. a retreat (literally or figuratively)
2. abstractly, a fleeing
[from H5127]
KJV: X apace, escape, way to flee, flight, refuge. 
Root(s): H5127 ",H,noun,masculine,8,2SA 22:3,נוס,,5127,נוס,,,,
4499,מְנוּסָה מְנוּסָה,"mnuwcah (men-oo-saw') (or mnucah {men-oo-saw'}) n-f.
1. retreat
[feminine of H4498]
KJV: fleeing, flight. 
Root(s): H4498 ",H,noun,feminine,2,LEV 26:36,,,4498,מנוס,,,,
4500,מָנוֹר,"manowr (maw-nore') n-m.
1. a yoke (properly, for plowing), i.e. the frame of a loom
[from H5214]
KJV: beam. 
Root(s): H5214 ",H,noun,masculine,4,1SA 17:7,,,5214,ניר,,,,
4501,מְנוֹרָה מְנוֹרָה,"mnowrah (men-o-raw') (or mnorah {men-o-raw'}) n-f.
1. a chandelier
[feminine of H4500 (in the original sense of H5216)]
KJV: candlestick. 
Root(s): H4500, H5216 ",H,noun,feminine,42,EXO 25:31,,,4500,מנור,5216,ניר נר ניר נר נרה,,
4502,מִנְּזָר,"minnzar (min-ez-awr') n-m.
1. a prince
[from H5144]
KJV: crowned. 
Root(s): H5144 ",H,noun,masculine,1,NAM 3:17,נזר,,5144,נזר,,,,
4503,מִנחָה,"minchah (min-khaw') n-f.
1. a donation
2. euphemistically, tribute
3. specifically a sacrificial offering (usually bloodless and voluntary)
[from an unused root meaning to apportion, i.e. bestow]
KJV: gift, oblation, (meat) offering, present, sacrifice. ",H,noun,feminine,211,GEN 4:3,מנחה,,,,,,,
4504,מִנחָה,"minchah (min-khaw') n-f.
1. a sacrificial offering
[(Aramaic) corresponding to H4503]
KJV: oblation, meat offering. 
Root(s): H4503 ",A,noun,feminine,2,EZR 7:17,מנחה,,4503,מנחה,,,,
4505,מְנַחֵם,"Mnachem (men-akh-ame') n/p.
1. comforter
2. Menachem, an Israelite
[from H5162]
KJV: Menahem. 
Root(s): H5162 ",H,noun proper,,8,2KI 15:14,נחם,,5162,נחם,,,,
4506,מָנַחַת,"Manachath (maw-nakh'-ath) n/l.
1. rest
2. Manachath, the name of an Edomite and of a place in Moab
[from H5117]
KJV: Manahath. 
Root(s): H5117 ",H,noun location,,3,GEN 36:23,נוח,,5117,נוח,,,,
4507,מְנִי,"Mniy (men-ee') n/p.
1. the Apportioner, i.e. Fate (as an idol)
[from H4487]
KJV: number. 
Root(s): H4487 ",H,noun proper,,1,ISA 65:11,מנה,,4487,מנה,,,,
4508,מִנִּי,"Minniy (min-nee') n/l.
1. Minni, an Armenian province
[of foreign derivation]
KJV: Minni. ",H,noun location,,1,JER 51:27,,,,,,,,
4509,מִניָמִין,"Minyamiyn (min-yaw-meen') n/p.
1. from (the) right hand
2. Minjamin, the name of two Israelites
[from H4480 and H3225]
KJV: Miniamin. 
Root(s): H4480, H3225 
Compare: H4326 ",H,noun proper,,3,2CH 31:15,,,4480,מן מני מני,3225,ימין,,
4510,מִניָן,"minyan (min-yawn') n-m.
1. enumeration
[(Aramaic) from H4483]
KJV: number. 
Root(s): H4483 ",A,noun,masculine,1,EZR 6:17,,,4483,מנא מנה,,,,
4511,מִנִּיתּ,"Minniyth (min-neeth') n/l.
1. enumeration
2. Minnith, a place East of the Jordan
[from the same as H4482]
KJV: Minnith. 
Root(s): H4482 ",H,noun location,,2,JDG 11:33,מן,,4482,מן,,,,
4512,מִנלֶה,"minleh (min-leh') n-m.
1. completion, i.e. (in produce) wealth
[from H5239]
KJV: perfection. 
Root(s): H5239 ",H,noun,masculine,1,JOB 15:29,נלה,,5239,נלה,,,,
4513,מָנַע,"mana` (maw-nah') v.
1. to debar (negatively or positively) from benefit or injury
[a primitive root]
KJV: deny, keep (back), refrain, restrain, withhold. ",H,verb,,29,GEN 30:2,מנע,,,,,,,
4514,מַנעוּל מַנעוּל,"man`uwl (man-ool') (or maniul {man-ool'}) n-m.
1. a bolt
[from H5274]
KJV: lock. 
Root(s): H5274 ",H,noun,masculine,6,NEH 3:3,נעל,,5274,נעל,,,,
4515,מַנעָל,"man`al (man-awl') n-m.
1. a bolt
[from H5274]
KJV: shoe. 
Root(s): H5274 ",H,noun,masculine,1,DEU 33:25,נעל,,5274,נעל,,,,
4516,מַנעַם,"man`am (man-am') n-m.
1. a delicacy
[from H5276]
KJV: dainty. 
Root(s): H5276 ",H,noun,masculine,1,PSA 141:4,נעם,,5276,נעם,,,,
4517,מְנַענַע,"mna`na` (men-ah-ah') n-m.
1. a sistrum (so called from its rattling sound)
[from H5128]
KJV: cornet. 
Root(s): H5128 ",H,noun,masculine,1,2SA 6:5,נוע,,5128,נוע,,,,
4518,מְנַקִּיתּ,"mnaqqiyth (men-ak-keeth') n-f.
1. a sacrificial basin (for holding blood)
[from H5352]
KJV: bowl. 
Root(s): H5352 ",H,noun,feminine,4,EXO 25:29,נקה,,5352,נקה,,,,
4519,מְנַשֶּׁה,"Mnashsheh (men-ash-sheh') n/p.
1. causing to forget
2. Menashsheh, a grandson of Jacob, also the tribe descended from him, and its territory
[from H5382]
KJV: Manasseh. 
Root(s): H5382 ",H,noun proper,,146,GEN 41:51,נשׁה,,5382,נשׁה,,,,
4520,מְנַשִּׁי,"Mnashshiy (men-ash-shee') adj.
1. a Menashshite or descendant of Menashsheh
[from H4519]
KJV: of Manasseh, Manassites. 
Root(s): H4519 ",H,adjective,,4,DEU 4:43,,,4519,מנשׁה,,,,
4521,מְנָת,"mnath (men-awth') n-f.
1. an allotment (by courtesy, law or providence)
[from H4487]
KJV: portion. 
Root(s): H4487 ",H,noun,feminine,7,2CH 31:3,מנה,,4487,מנה,,,,
4522,מַס מִס,"mac (mas) (or mic {mees}) n-m.
1. (properly) a burden (as causing to faint), i.e. a tax in the form of forced labor
[from H4549]
KJV: discomfited, levy, task(-master), tribute(-tary). 
Root(s): H4549 ",H,noun,masculine,23,GEN 49:15,מסס,,4549,מסס,,,,
4523,מָס,"mac (mawce) adj.
1. fainting, i.e. (figuratively) disconsolate
[from H4549]
KJV: is afflicted. 
Root(s): H4549 ",H,adjective,,1,JOB 6:14,מסס,,4549,מסס,,,,
4524,מֵסַב מֶסִבִּים מֶסִבּוֹת,"mecab (may-sab') (plural masculine mcibbiym {mes-ib-beem'} or feminine mcibbowth {mes-ib-bohth'};) n-m.
1. a divan (as enclosing the room)
2. abstractly (adverbial) around
[from H5437]
KJV: that compass about, (place) round about, at table. 
Root(s): H5437 ",H,noun,masculine,5,1KI 6:29,סבב,,5437,סבב,,,,
4525,מַסגֵּר,"macger (mas-gare') n-m.
1. a fastener, i.e. (of a person) a smith, (of a thing) a prison
[from H5462]
KJV: prison, smith. 
Root(s): H5462 ",H,noun,masculine,7,2KI 24:14,סגר,,5462,סגר,,,,
4526,מִסגֶּרֶת,"micgereth (mis-gheh'-reth) n-f.
1. something enclosing, i.e. a margin (of a region, of a panel)
2. (concretely) a stronghold
[from H5462]
KJV: border, close place, hole. 
Root(s): H5462 ",H,noun,feminine,18,EXO 25:25,סגר,,5462,סגר,,,,
4527,מַסַּד,"maccad (mas-sad') n-m.
1. a foundation
[from H3245]
KJV: foundation. 
Root(s): H3245 ",H,noun,masculine,1,1KI 7:9,יסד,,3245,יסד,,,,
4528,מִסדְּרוֹן,"micdrown (mis-der-ohn') n-m.
1. a colonnade or internal portico (from its rows of pillars)
[from the same as H5468]
KJV: porch. 
Root(s): H5468 ",H,noun,masculine,1,JDG 3:23,,,5468,סדר,,,,
4529,מָסָה,"macah (maw-saw') v.
1. to dissolve
[a primitive root]
KJV: make to consume away, (make to) melt, water. ",H,verb,,4,JOS 14:8,מסה,,,,,,,
4530,מִסָּה,"miccah (mis-saw') n-f.
1. abundance
2. (adverbially) liberally
[from H4549 (in the sense of flowing)]
KJV: tribute 
Root(s): H4549 ",H,noun,feminine,1,DEU 16:10,מסס,,4549,מסס,,,,
4531,מַסָּה,"maccah (mas-saw') n-f.
1. a testing, of men (judicial) or of God (querulous)
[from H5254]
KJV: temptation, trial. 
Root(s): H5254 ",H,noun,feminine,5,DEU 4:34,נסה,,5254,נסה,,,,
4532,מַסָּה,"Maccah (mas-saw') n/l.
1. Massah, a place in the Desert
[the same as H4531]
KJV: Massah. 
Root(s): H4531 ",H,noun location,,4,EXO 17:7,,,4531,מסה,,,,
4533,מַסוֶה,"macveh (mas-veh') n-m.
1. a veil
[apparently from an unused root meaning to cover]
KJV: vail. ",H,noun,masculine,3,EXO 34:33,,,,,,,,
4534,מְסוּכָה,"mcuwkah (mes-oo-kaw') n-f.
1. a hedge
[for H4881]
KJV: thorn hedge. 
Root(s): H4881 ",H,noun,feminine,1,MIC 7:4,,,4881,משׂוכה משׂוכה,,,,
4535,מַסָּח,"maccach (mas-sawkh') adv.
1. a cordon, (adverbially) or (as a) military barrier
[from H5255 in the sense of staving off]
KJV: broken down. 
Root(s): H5255 ",H,verb,,1,2KI 11:6,נסח,,5255,נסח,,,,
4536,מִסחָר,"micchar (mis-khawr') n-m.
1. trade
[from H5503]
KJV: traffic. 
Root(s): H5503 ",H,noun,masculine,1,1KI 10:15,,,5503,סחר,,,,
4537,מָסַך,"macak (maw-sak') v.
1. to mix, especially wine (with spices)
[a primitive root]
KJV: mingle. ",H,verb,,5,PSA 102:9,מסך,,,,,,,
4538,מֶסֶך,"mecek (meh'-sek) n-m.
1. a mixture, i.e. of wine with spices
[from H4537]
KJV: mixture. 
Root(s): H4537 ",H,noun,masculine,1,PSA 75:8,מסך,,4537,מסך,,,,
4539,מָסָך,"macak (maw-sawk') n-m.
1. a cover, i.e. veil
[from H5526]
KJV: covering, curtain, hanging. 
Root(s): H5526 ",H,noun,masculine,25,EXO 26:36,סכך שׂכך,,5526,סכך שׂכך,,,,
4540,מְסוּכָּה,"mcukkah (mes-ook-kaw') n-f.
1. a covering, i.e. garniture
[from H5526]
KJV: covering. 
Root(s): H5526 ",H,noun,feminine,1,EZK 28:13,סכך שׂכך,,5526,סכך שׂכך,,,,
4541,מַסֵּכָה,"maccekah (mas-say-kaw') n-f.
1. (properly) a pouring over, i.e. fusion of metal (especially a cast image)
2. (by implication) a libation, i.e. league
3. (concretely) a coverlet (as if poured out)
[from H5258]
KJV: covering, molten (image), vail. 
Root(s): H5258 ",H,noun,feminine,28,EXO 32:4,נסך,,5258,נסך,,,,
4542,מִסכֵּן,"micken (mis-kane') adj.
1. indigent
[from H5531]
KJV: poor (man). 
Root(s): H5531 ",H,adjective,,4,ECC 4:13,,,5531,סכלות שׂכלות,,,,
4543,מִסכְּנָה,"micknah (mis-ken-aw') n-f.
1. a storehouse
[by transp. from H3664]
KJV: store(-house), treasure. 
Root(s): H3664 ",H,noun,feminine,7,EXO 1:11,כנס,,3664,כנס,,,,
4544,מִסכֵּנוּת,"mickenuth (mis-kay-nooth') n-f.
1. indigence
[from H4542]
KJV: scarceness. 
Root(s): H4542 ",H,noun,feminine,1,DEU 8:9,,,4542,מסכן,,,,
4545,מַסֶּכֶת,"macceketh (mas-seh'-keth) n-f.
1. something expanded, i.e. the warp in a loom (as stretched out to receive the woof)
[from H5259 in the sense of spreading out]
KJV: web. 
Root(s): H5259 ",H,noun,feminine,2,JDG 16:13,,,5259,נסך,,,,
4546,מְסִלָּה,"mcillah (mes-il-law') n-f.
1. a thoroughfare (as turnpiked), literally or figuratively
2. specifically a viaduct, a staircase
[from H5549]
KJV: causeway, course, highway, path, terrace. 
Root(s): H5549 ",H,noun,feminine,27,NUM 20:19,סלל,,5549,סלל,,,,
4547,מַסלוּל,"macluwl (mas-lool') n-m.
1. a thoroughfare (as turnpiked)
[from H5549]
KJV: highway. 
Root(s): H5549 ",H,noun,masculine,1,ISA 35:8,סלל,,5549,סלל,,,,
4548,מַסמֵר מִסמֵר מַסמְרָה מִסמְרָה,"macmer (mas-mare') (or micmer {mis-mare'} also (feminine) macmrah {mas-mer-aw'}; or micmrah {mis-mer-aw'}; or even masmrah (Eccles. 12) n-f.
1. a peg (as bristling from the surface)
[from H5568]
KJV: nail. 
Root(s): H5568 ",H,noun,feminine,4,1CH 22:3,סמר,,5568,סמר,,,,
4549,מָסַס,"macac (maw-sas') v.
1. to liquefy
2. (figuratively) to waste (with disease), to faint (with fatigue, fear or grief)
[a primitive root]
KJV: discourage, faint, be loosed, melt (away), refuse, X utterly. ",H,verb,,21,EXO 16:21,מסס,,,,,,,
4550,מַסַּע,"macca` (mas-sah') n-m.
1. a departure (from striking the tents), i.e. march (not necessarily a single day's travel)
2. (by implication) a station (or point of departure)
[from H5265]
KJV: journey(-ing). 
Root(s): H5265 ",H,noun,masculine,12,GEN 13:3,נסע,,5265,נסע,,,,
4551,מַסָּע,"macca` (mas-saw') n-m.
1. a missile (spear or arrow)
2. also a quarry (whence stones are, as it were, ejected)
[from H5265 in the sense of projecting]
KJV: before it was brought, dart. 
Root(s): H5265 ",H,noun,masculine,2,1KI 6:7,נסע,,5265,נסע,,,,
4552,מִסעָד,"mic`ad (mis-awd') n-m.
1. a balustrade (for stairs)
[' from H5582]
KJV: pillar. 
Root(s): H5582 ",H,noun,masculine,1,1KI 10:12,סעד,,5582,סעד,,,,
4553,מִספֵּד,"micepd (mis-pade') n-m.
1. a lamentation
[from H5594]
KJV: lamentation, one mourneth, mourning, wailing. 
Root(s): H5594 ",H,noun,masculine,14,GEN 50:10,ספד,,5594,ספד,,,,
4554,מִספּוֹא,"micpow' (mis-po') n-m.
1. fodder
[from an unused root meaning to collect]
KJV: provender. ",H,noun,masculine,5,GEN 24:35,,,,,,,,
4555,מִספָּחָה,"micpachah (mis-paw-khaw') n-f.
1. a veil (as spread out)
[from H5596]
KJV: kerchief. 
Root(s): H5596 ",H,noun,feminine,2,EZK 13:18,ספח שׂפח,,5596,ספח שׂפח,,,,
4556,מִספַּחַת,"micpachath (mis-pakh'-ath) n-f.
1. scruf (as spreading over the surface)
[from H5596]
KJV: scab. 
Root(s): H5596 ",H,noun,feminine,3,LEV 13:6,ספח שׂפח,,5596,ספח שׂפח,,,,
4557,מִספָּר,"micpar (mis-pawr') n-m.
1. a number
2. (definite) arithmetical number
3. (indefinite, large) innumerable
4. (indefinite, small) a few
5. (abstractly) a narration
[from H5608]
KJV: + abundance, account, X all, X few, (in-)finite, (certain) number(-ed), tale, telling, + time. 
Root(s): H5608 ",H,noun,masculine,134,GEN 34:30,ספר,,5608,ספר,,,,
4558,מִספָּר,"Micpar (mis-pawr') n/p.
1. number
2. Mispar, an Israelite
[the same as H4457]
KJV: Mizpar. 
Root(s): H4457 
Compare: H4559 ",H,noun proper,,1,EZR 2:2,ספר,,4457,מלקח מלקח,,,,
4559,מִספֶּרֶת,"Micpereth (mis-peh'-reth) n/p.
1. enumeration
2. Mispereth, an Israelite
[feminine of H4437]
KJV: Mispereth. 
Root(s): H4437 
Compare: H4458 ",H,noun proper,,1,NEH 7:7,ספר,,4437,מלכו,,,,
4560,מָסַר,"macar (maw-sar') v.
1. to sunder, i.e. (transitively) set apart, or (reflex.) apostatize
[a primitive root]
KJV: commit, deliver. ",H,verb,,2,NUM 31:5,מסר,,,,,,,
4561,מוֹסָר,"mocar (mo-sawr') n-m.
1. admonition
[from H3256]
KJV: instruction. 
Root(s): H3256 ",H,noun,masculine,1,JOB 33:16,יסר,,3256,יסר,,,,
4562,מָסוֹרֶת,"macoreth (maw-so'-reth) n-f.
1. a band
[from H631]
KJV: bond. 
Root(s): H631 ",H,noun,feminine,1,EZK 20:37,,,631,אסר,,,,
4563,מִסתּוֹר,"mictowr (mis-tore') n-m.
1. a refuge
[from H5641]
KJV: covert. 
Root(s): H5641 ",H,noun,masculine,1,ISA 4:6,סתר,,5641,סתר,,,,
4564,מַסתֵּר,"macter (mas-tare') n-m.
1. (properly) a hider, i.e. (abstractly) a hiding, i.e. aversion
[from H5641]
KJV: hid. 
Root(s): H5641 ",H,noun,masculine,1,ISA 53:3,סתר,,5641,סתר,,,,
4565,מִסתָּר,"mictar (mis-tawr') n-m.
1. (properly) a concealer, i.e. a covert
[from H5641]
KJV: secret(-ly, place). 
Root(s): H5641 ",H,noun,masculine,10,PSA 10:8,סתר,,5641,סתר,,,,
4566,מַעבָּד,"ma`bad (mah-bawd') n-m.
1. an act
[from H5647]
KJV: work. 
Root(s): H5647",H,noun,masculine,1,JOB 34:25,עבד,,5647,עבד,,,,
4567,מַעבָּד,"ma`bad (mah-bawd') n-m.
1. an act
[(Aramaic) corresponding to H4566]
KJV: work. 
Root(s): H4566 ",A,noun,masculine,1,DAN 4:37,,,4566,מעבד,,,,
4568,מַעֲבֶה,"ma`abeh (mah-ab-eh') n-m.
1. (properly) compact (part of soil), i.e. loam
[from H5666]
KJV: clay. 
Root(s): H5666 ",H,noun,masculine,1,1KI 7:46,עבה,,5666,עבה,,,,
4569,מַעֲבָר מַעֲבָרָה,"ma`abar (mah-ab-awr') (or feminine mapabarah {mah-ab-aw-raw'}) n-m.
1. a crossing-place (of a river, a ford
2. of a mountain, a pass)
3. abstractly, a transit, i.e. (figuratively) overwhelming
[from H5674]
KJV: ford, place where...pass, passage. 
Root(s): H5674 ",H,noun,masculine,11,GEN 32:22,עבר,,5674,עבר,,,,
4570,מַעגָּל מַעגָּלָה,"ma`gal (mah-gawl') (or feminine mapgalah {mah-gaw-law'}) n-m.
1. a track (literally or figuratively)
2. also a rampart (as circular)
[from the same as H5696]
KJV: going, path, trench, way((-side)). 
Root(s): H5696 ",H,noun,masculine,16,1SA 17:20,,,5696,עגול עגול,,,,
4571,מָעַד,"ma`ad (maw-ad') v.
1. to waver
[a primitive root]
KJV: make to shake, slide, slip. ",H,verb,,6,2SA 22:37,מעד,,,,,,,
4572,מַעֲדַי,"Ma`aday (mah-ad-ah'-ee) n/p.
1. ornamental
2. Maadai, an Israelite
[from H5710]
KJV: Maadai. 
Root(s): H5710 ",H,noun proper,,1,EZR 10:34,עדה,,5710,עדה,,,,
4573,מַעַדיָה,"Ma`adyah (mah-ad-yaw') n/p.
1. ornament of Jah
2. Maadjah, an Israelite
[from H5710 and H3050]
KJV: Maadiah. 
Root(s): H5710, H3050 
Compare: H4153 ",H,noun proper,,1,NEH 12:5,עדה,,5710,עדה,3050,יה,,
4574,מַעֲדָן מַעֲדַנָּה,"ma`adan (mah-ad-awn') (or (feminine) maadannah {mah-ad-an-naw'}) n-m.
1. a delicacy or (abstractly) pleasure (adverbially, cheerfully)
[from H5727]
KJV: dainty, delicately, delight. 
Root(s): H5727 ",H,noun,masculine,4,GEN 49:20,עדן,,5727,עדן,,,,
4575,מַעֲדַנָּה,"ma`adannah (mah-ad-an-naw') n-f.
1. a bond, i.e. group
[by transitive from H6029]
KJV: influence. 
Root(s): H6029 ",H,noun,feminine,1,JOB 38:31,ענד,,6029,ענד,,,,
4576,מַעדֵּר,"ma`der (mah-dare') n-m.
1. a (weeding) hoe
[from H5737]
KJV: mattock. 
Root(s): H5737 ",H,noun,masculine,1,ISA 7:25,עדר,,5737,עדר,,,,
4577,מְעָה מְעָא,"m`ah (meh-aw') ((Aramaic) or m(ae (Aramaic) {meh-aw'}) n-m.
1. only in plural the bowels
[corresponding to H4578]
KJV: belly. 
Root(s): H4578 ",A,noun,masculine,1,DAN 2:32,,,4578,מעה,,,,
4578,מֵעֶה,"me`ah (may-aw') n-m.
1. used only in plural the intestines, or (collectively) the abdomen, figuratively, sympathy
2. (by implication) a vest
3. (by extension) the stomach, the uterus (or of men, the seat of generation), the heart (figuratively)
[from an unused root probably meaning to be soft]
KJV: belly, bowels, X heart, womb. ",H,noun,masculine,1,JON 15:4,,,,,,,,
4579,מֵעָה,"me`ah (may-aw') n-f.
1. the belly, i.e. (figuratively) interior
[feminine of H4578]
KJV: gravel. 
Root(s): H4578 ",H,noun,feminine,1,ISA 48:19,,,4578,מעה,,,,
4580,מָעוֹג,"ma`owg (maw-ogue') n-m.
1. a cake of bread (with H3934 a table- buffoon, i.e. parasite)
[from H5746]
KJV: cake, feast. 
Root(s): H5746 
See also: H3934 ",H,noun,masculine,2,1KI 17:12,עוג,,5746,עוג,,,,
4581,מָעוֹז מָעוּז מָעוֹז מָעוּז,"ma`owz (maw-oze') (also mauwz {maw-ooz'} or mahoz {maw-oze'}, also ma,uz {maw-ooz'};) n-m.
1. a fortified place
2. (figuratively) a defence
[from H5810]
KJV: force, fort(-ress), rock, strength(-en), (X most) strong (hold). 
Root(s): H5810 ",H,noun,masculine,37,JDG 6:26,עזז,,5810,עזז,,,,
4582,מָעוֹך,"Ma`owk (maw-oke') n/p.
1. oppressed
2. Maok, a Philistine
[from H4600]
KJV: Maoch. 
Root(s): H4600 ",H,noun proper,,1,1SA 27:2,מעך,,4600,מעך,,,,
4583,מָעוֹן מָעִין,"ma`own (maw-ohn') (or maiyn (1 Chronicles 4) n-m.
1. an abode, of God (the Tabernacle or the Temple), men (their home) or animals (their lair)
2. (hence) a retreat (asylum)
[from the same as H5772]
KJV: den, dwelling((-)place), habitation. 
Root(s): H5772 ",H,noun,masculine,17,DEU 26:15,,,5772,עונה,,,,
4584,מָעוֹן,"Ma`own (maw-ohn') n/l.
1. a residence
2. Maon, the name of an Israelite and of a place in Israel
[the same as H4583]
KJV: Maon, Maonites. 
Root(s): H4583 
Compare: H1010, H4586",H,noun location,,8,JOS 15:55,,,4583,מעון מעין,,,,
4585,מְעוֹנָה מְעוֹנָה,"m`ownah (meh-o-naw') (or msonah {meh-o-naw'}) n-f.
1. meaning the same as H4583
[feminine of H4583]
KJV: den, habitation, (dwelling) place, refuge. 
Root(s): H4583 ",H,noun,feminine,10,DEU 33:27,,,4583,מעון מעין,,,,
4586,מְעוּנִי מְעִינִי,"M`uwniy (meh-oo-nee') (or Msiyniy {meh-ee-nee'}) n/p.
1. a Meunite, or inhabitant of Maon (only in plural)
[probably patrial from H4584]
KJV: Mehunim(-s), Meunim. 
Root(s): H4584 ",H,noun proper,,4,1CH 4:41,,,4584,מעון,,,,
4587,מְעוֹנוֹתַי,"M`ownothay (meh-o-no-thah'-ee) n/p.
1. habitative
2. Meonothai, an Israelite
[plural of H4585]
KJV: Meonothai. 
Root(s): H4585 ",H,noun proper,,1,1CH 4:14,,,4585,מעונה מעונה,,,,
4588,מָעוּף,"ma`uwph (maw-off') n-m.
1. darkness
[from H5774 in the sense of covering with shade]
KJV: dimness. 
Root(s): H5774 
Compare: H4155 ",H,noun,masculine,1,ISA 8:22,עוף,,5774,#N/A,,,,
4589,מָעוֹר,"ma`owr (maw-ore') n-m.
1. nakedness, i.e. (in plural) the pudenda
[from H5783]
KJV: nakedness. 
Root(s): H5783 ",H,noun,masculine,1,HAB 2:15,עור,,5783,עור,,,,
4590,מַעַזיָה מַעַזיָהוּ,"Ma`azyah (mah-az-yaw') (or Ma.azyahuw {mah-az-yaw'-hoo}) n/p.
1. rescue of Jah
2. Maazjah, the name of two Israelites
[probably from H5756 (in the sense of protection) and H3050]
KJV: Maaziah. 
Root(s): H5756, H3050 ",H,noun proper,,2,1CH 24:18,עוז,,5756,עוז,3050,יה,,
4591,מָעַט,"ma`at (maw-at') v.
1. (properly) to pare off, i.e. lessen
2. intransitively, to be (or causatively, to make) small or few (or figuratively, ineffective)
[a primitive root]
KJV: suffer to decrease, diminish, (be, X borrow a, give, make) few (in number, -ness), gather least (little), be (seem) little, (X give the) less, be minished, bring to nothing. ",H,verb,,21,EXO 12:4,מעט,,,,,,,
4592,מְעַט מְעָט,"m`at (meh-at') (or miat {meh-awt'}) subv.
1. a little or few (often adverbial or compar.)
[from H4591]
KJV: almost (some, very) few(-er, -est), lightly, little (while), (very) small (matter, thing), some, soon, X very. 
Root(s): H4591 ",H,substantive,,102,GEN 18:4,מעט,,4591,מעט,,,,
4593,מָעוֹט,"ma`ot (maw-ote') adj.
1. thinned (as to the edge), i.e. sharp
[passive adjective of H4591]
KJV: wrapped up. 
Root(s): H4591 ",H,adjective,,1,EZK 21:15,מעט,,4591,מעט,,,,
4594,מַעֲטֶה,"ma`ateh (mah-at-eh') n-m.
1. a vestment
[from H5844]
KJV: garment. 
Root(s): H5844 ",H,noun,masculine,1,ISA 61:3,עטה,,5844,עטה,,,,
4595,מַעֲטָפָה,"ma`ataphah (mah-at-aw-faw') n-f.
1. a cloak
[from H5848]
KJV: mantle. 
Root(s): H5848 ",H,noun,feminine,1,ISA 3:22,עטף,,5848,עטף,,,,
4596,מְעִי,"m`iy (meh-ee') n-m.
1. a pile of rubbish (as contorted), i.e. a ruin
[from H5753]
KJV: heap. 
Root(s): H5753 
Compare: H5856 ",H,noun,masculine,1,ISA 17:1,עוה,,5753,עוה,,,,
